"id","date_part","cash_flow"
135,"2007","307615"
135,"2008","1400"
135,"2009","-1666175"
135,"2010","-3225800"
135,"2011","220169"
135,"2012","-121550"
135,"2013","114619"
135,"2014","-109347"
136,"2007","270564"
136,"2008","152479"
136,"2009","456031"
136,"2010","1353563"
136,"2011","-229761"
136,"2012","-1129503"
136,"2013","-603708"
136,"2014","-216631"
137,"2007","-5317229"
137,"2008","-143273"
137,"2009","-7442912"
137,"2010","1192804"
137,"2011","-6058172"
137,"2012","2033935"
137,"2013","-8356197"
137,"2014","-3102700"
140,"2007","-669289"
140,"2008","-1217799"
140,"2009","1351268"
140,"2010","612491"
140,"2011","598653"
140,"2012","-548042"
140,"2013","358090"
145,"2007","-978549"
145,"2008","-2103206"
145,"2009","-2088286"
145,"2010","-164247"
145,"2011","645543"
145,"2012","222760"
145,"2013","-781663"
145,"2014","-4916625"
147,"2007","-19802"
147,"2008","-841533"
147,"2009","-153932"
152,"2007","114667"
152,"2008","-131317"
155,"2013","115744"
155,"2014","-31611"
159,"2007","342398"
159,"2008","-37663"
159,"2009","-442408"
159,"2010","-81449"
159,"2011","-95689"
159,"2012","-1331922"
159,"2013","173281"
159,"2014","35939"
162,"2007","-2506360"
162,"2008","3925051"
163,"2007","59550"
163,"2008","-111326"
163,"2009","-67191"
167,"2007","-38034"
176,"2007","-24859"
176,"2008","-220370"
176,"2009","4262"
176,"2010","-130884"
176,"2011","-16224"
176,"2012","54172"
176,"2013","145314"
176,"2014","-35583"
179,"2008","64366"
179,"2009","-55361"
179,"2010","52468"
179,"2011","-32768"
179,"2012","2872"
179,"2013","-14628"
179,"2014","-276488"
180,"2010","21251554"
180,"2011","6637987"
180,"2012","28579127"
180,"2013","-4440058"
180,"2014","1739357"
181,"2007","10424"
181,"2008","4308"
181,"2009","220666"
181,"2010","20291"
181,"2011","190979"
181,"2012","-101132"
181,"2013","225476"
181,"2014","89961"
184,"2007","-17722"
184,"2008","564592"
184,"2009","27334"
184,"2010","39830"
184,"2011","-110263"
184,"2012","283135"
184,"2013","-65290"
184,"2014","494307"
188,"2007","78609"
188,"2010","2479651"
188,"2011","-1448551"
188,"2012","-871037"
188,"2013","674565"
188,"2014","-1220686"
197,"2009","263900"
197,"2010","365226"
197,"2011","1809187"
197,"2012","867493"
197,"2013","-1269891"
197,"2014","50831"
198,"2008","129202"
198,"2009","40013"
198,"2010","-5248"
198,"2011","-214323"
198,"2012","-38"
198,"2013","-2759"
207,"2007","-4036905"
207,"2008","-1602480"
207,"2009","2369190"
207,"2010","-745592"
207,"2011","-444692"
207,"2012","-25904"
207,"2013","-41565"
207,"2014","2454981"
208,"2007","-27565"
208,"2008","284498"
208,"2009","277283"
208,"2010","-72165"
208,"2011","-74978"
208,"2012","98816"
208,"2013","-35270"
208,"2014","-5640"
212,"2007","815302"
212,"2008","1223686"
212,"2009","172894"
212,"2010","1303266"
212,"2011","-578811"
212,"2012","-618435"
212,"2013","-528416"
212,"2014","-569890"
220,"2007","-2727"
220,"2008","-141758"
220,"2009","-507785"
220,"2010","63376"
220,"2011","-68340"
220,"2012","-13201"
220,"2013","-404458"
220,"2014","311242"
225,"2007","556565"
225,"2008","-685502"
225,"2009","-12407"
225,"2010","-93194"
225,"2011","439519"
225,"2012","-218164"
225,"2013","244086"
225,"2014","-125439"
239,"2007","20353"
239,"2008","9895"
239,"2009","71291"
239,"2010","-57822"
239,"2011","-94766"
242,"2007","104863"
242,"2008","-442542"
242,"2009","7514"
242,"2010","292595"
242,"2011","91749"
250,"2007","-814172"
250,"2008","364229"
250,"2009","-102528"
260,"2007","4005"
260,"2008","1105002"
260,"2009","-10770476"
260,"2010","8723"
260,"2011","1192304"
261,"2007","-1186533"
261,"2008","-97139"
261,"2009","2817178"
261,"2010","401439"
261,"2011","-79441"
261,"2012","-73443"
261,"2013","-91411"
261,"2014","3074706"
264,"2007","31521279"
264,"2008","-58386335"
264,"2009","11559230"
264,"2010","3597179"
264,"2011","-13251537"
264,"2012","17690321"
264,"2013","1503098"
264,"2014","27406842"
277,"2007","-9939360"
277,"2008","-8232925"
