00080;Deutsch Tschantschendorf;10417;104;47.1071423;16.288722;Deutsch Tschantschendorf: Güssing: Burgenland: 7544: Österreich
00081;Hasendorf im Burgenland;10417;104;47.0774476;16.2977252;Hasendorf: Güssing: Burgenland: 7544: Österreich
00082;Kroatisch Tschantschendorf;10417;104;47.0974612;16.2863122;Kroatisch Tschantschendorf: Güssing: Burgenland: 7544: Österreich
00083;Punitz;10417;104;47.1202003;16.3435407;Punitz: Güssing: Burgenland: Österreich
00084;Tobaj;10417;104;47.0899178;16.3063095;
00085;Tudersdorf;10417;104;47.1010948;16.2769953;Tudersdorf: Güssing: Burgenland: 7544: Österreich
00066;Hackerberg;10418;104;47.1955016;16.1071161;
00068;Wörterberg;10419;104;47.2228524;16.0981793;
00060;Großmürbisch;10420;104;47.0161982;16.361314;
00061;Inzenhof;10421;104;47.0124793;16.3168203;
00062;Kleinmürbisch;10422;104;47.0335104;16.3244932;
00064;Tschanigraben;10423;104;47.0065888;16.3054361;
00029;Heugraben;10424;104;47.1191584;16.1910116;
00030;Rohr im Burgenland;10425;104;47.119308;16.1641956;
00037;Oberbildein;10426;104;47.1343911;16.4662575;Oberbildein: Güssing: Burgenland: 7521: Österreich
00038;Unterbildein;10426;104;47.1286633;16.4675823;Unterbildein: Güssing: Burgenland: 7521: Österreich
00070;Rauchwart;10427;104;47.1424088;16.2307396;
00076;Moschendorf;10428;104;47.0568399;16.4784094;
00086;Deutsch Kaltenbrunn;10501;105;47.0907356;16.1061701;
00087;Rohrbrunn;10501;105;47.1107199;16.119325489451;Rohrbrunn: Deutsch Kaltenbrunn: Jennersdorf: Burgenland: 7572: Österreich
00088;Eltendorf;10502;105;47.0073713;16.1990223;
00090;Zahling;10502;105;47.0248296;16.2127977;Zahling: Jennersdorf: Burgenland: 7562: Österreich
00091;Heiligenkreuz im Lafnitztal;10503;105;46.9892098;16.2605;
00092;Poppendorf im Burgenland;10503;105;46.9965314;16.2295658;Poppendorf im Burgenland: Jennersdorf: Burgenland: 7561: Österreich
00093;Grieselstein;10504;105;46.9505027;16.1198781;Grieselstein: Jennersdorf: Burgenland: 8380: Österreich
00094;Henndorf im Burgenland;10504;105;46.982284;16.145962;
00095;Jennersdorf;10504;105;46.9371733;16.1412906;
00096;Rax;10504;105;46.9433468;16.1603988;Rax: Jennersdorf: Burgenland: 8380: Österreich
00097;Minihof-Liebau;10505;105;46.8813494;16.0706448;
00098;Tauka;10505;105;46.8627693;16.0791626;Tauka: Jennersdorf: Burgenland: 8384: Österreich
00099;Windisch-Minihof;10505;105;46.8909504;16.0962422;Windisch - Minihof: Jennersdorf: Burgenland: 8384: Österreich
00100;Deutsch Minihof;10506;105;46.970816;16.2440244;Deutsch Minihof: Jennersdorf: Burgenland: 7561: Österreich
00101;Mogersdorf;10506;105;46.9481799;16.233476;
00102;Wallendorf;10506;105;46.9718999;16.2333332;Wallendorf: Jennersdorf: Burgenland: 8382: Österreich
00103;Bonisdorf;10507;105;46.8423007;16.0404813;Bonisdorf: Jennersdorf: Burgenland: 8385: Österreich
00104;Kalch;10507;105;46.8400916;16.0105465;Kalch: Jennersdorf: Burgenland: 8385: Österreich
00105;Krottendorf bei Neuhaus am Klausenbach;10507;105;46.84986;16.0293921;Krottendorf: Jennersdorf: Burgenland: 8385: Österreich
00107;Neuhaus am Klausenbach;10507;105;46.8690545;16.0292721;
00108;Dobersdorf;10508;105;47.0230426;16.1450736;Dobersdorf: Jennersdorf: Burgenland: 7564: Österreich
00109;Rudersdorf;10508;105;47.0492181;16.1224748;
00110;Doiber;10509;105;46.9210215;16.1132365;Doiber: Jennersdorf: Burgenland: 8383: Österreich
00111;Gritsch;10509;105;46.9209143;16.0949517;Gritsch: Jennersdorf: Burgenland: 8383: Österreich
00112;Neumarkt an der Raab;10509;105;46.9270918;16.1598336;Neumarkt an der Raab: Jennersdorf: Burgenland: 8380: Österreich
